id,group,source,approved,review,sentence_en,sentence_pt
zhu2022integrating,deep-learning,abstract,yes,Neural-network reparameterized FWI (NNFWI) with MC-dropout uncertainty.,"Represents the velocity model with a generative neural network inside FWI; the network acts as a spatial regularizer that mitigates local minima and noise, and Monte Carlo dropout gives an uncertainty estimate.","Representa o modelo de velocidade com uma rede neural generativa dentro do FWI; a rede atua como regularizador espacial que atenua mínimos locais e ruído, e o Monte Carlo dropout fornece uma estimativa de incerteza."
sun2023implicit,deep-learning,abstract,yes,Implicit FWI with neural representations.,"Implicit FWI represents the velocity model with a coordinate-based neural network; from random initialization it reports better convergence than standard FWI, and adds dropout for approximate uncertainty.","O FWI implícito representa o modelo de velocidade com uma rede neural baseada em coordenadas; partindo de inicialização aleatória, relata convergência melhor que o FWI padrão e usa dropout para uma incerteza aproximada."
liu2026reparam,deep-learning,abstract,yes,Deep-reparameterized FWI with architecture benchmarking.,"Benchmarks network architectures (U-Net, CNN, MLP) and initialization strategies for deep-reparameterized FWI, where the network weights rather than the model cells are optimized.","Compara arquiteturas de rede (U-Net, CNN, MLP) e estratégias de inicialização para o FWI com reparametrização profunda, em que se otimizam os pesos da rede em vez das células do modelo."
deng2022openfwi,deep-learning,abstract,no,"Benchmark datasets for FWI; the contribution is data, not an FWI method.","OpenFWI: twelve open synthetic datasets (interfaces, faults, CO₂ reservoirs, one 3D set) with benchmarks of deep-learning inversion methods, including generalization tests.","OpenFWI: doze conjuntos de dados sintéticos abertos (interfaces, falhas, reservatórios de CO₂, um conjunto 3D), com benchmarks de métodos de inversão por deep learning, incluindo testes de generalização."
taufik2024learned,deep-learning,abstract,yes,Diffusion-model regularization in elastic FWI.,"Trains a diffusion model on elastic-parameter distributions and uses it as a learned regularizer in elastic FWI, instead of an empirical relation between the parameters.","Treina um modelo de difusão sobre distribuições de parâmetros elásticos e o usa como regularizador aprendido no FWI elástico, em vez de uma relação empírica entre os parâmetros."
zhang2023eifwi,uncertainty,abstract,yes,Elastic implicit FWI with MLP/Bayesian networks.,"Elastic implicit FWI: a multilayer perceptron or a Bayesian neural network generates the elastic model, reducing reliance on an accurate starting model.","FWI elástico implícito: um perceptron multicamadas ou uma rede neural bayesiana gera o modelo elástico, reduzindo a dependência de um modelo inicial preciso."
yin2025wiser,uncertainty,abstract,yes,Variational-inference uncertainty quantification for FWI.,A semi-amortized variational inference framework that pairs a generative network with physics-based refinements to estimate multimodal posteriors in FWI at full resolution.,Um arcabouço de inferência variacional semiamortizada que combina uma rede generativa com refinamentos baseados na física para estimar posteriors multimodais no FWI em resolução total.
elmeliegy2026vae,uncertainty,abstract,yes,Physics-constrained VAE for FWI uncertainty.,"A variational autoencoder, trained without labeled data and constrained by a finite-difference solver, returns a set of velocity models that fit the data, for single- and multiparameter FWI.","Um autoencoder variacional, treinado sem dados rotulados e restrito por um simulador de diferenças finitas, devolve um conjunto de modelos de velocidade que ajustam os dados, no FWI de um ou vários parâmetros."
li2022targetlapse,time-lapse,abstract,yes,Target-oriented time-lapse elastic FWI with a learned prior.,"Target-oriented time-lapse elastic FWI: redatuming focuses the inversion on the reservoir, and a deep-learning prior built from well data regularizes it.","FWI elástico time-lapse orientado ao alvo: a redatumação concentra a inversão no reservatório, e um prior de deep learning construído a partir de dados de poço a regulariza."
li2026co2,time-lapse,abstract,yes,Bayesian full-waveform monitoring (time-lapse FWI) of CO2 storage.,"Bayesian full-waveform monitoring of CO₂ storage: flow simulations build the prior, a variational autoencoder compresses it, and Hamiltonian Monte Carlo infers saturation changes.","Monitoramento bayesiano de armazenamento de CO₂ por forma de onda completa: simulações de fluxo constroem o prior, um autoencoder variacional o comprime e Hamiltonian Monte Carlo infere as mudanças de saturação."
metivier2016,cycle-skipping,abstract,yes,"Optimal-transport misfit for FWI, tested on Marmousi 2, BP 2004 and Chevron 2014 data.","Measures the misfit with an optimal transport distance that accounts for the lateral coherency of events across traces; on Marmousi 2, BP 2004 and Chevron 2014 data it is less prone to cycle skipping than the L2 distance.","Mede o misfit com uma distância de transporte ótimo que considera a coerência lateral dos eventos entre traços; nos dados Marmousi 2, BP 2004 e Chevron 2014, é menos sujeito ao cycle-skipping que a distância L2."
